dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Adiac,0.7698209718670077,0.7647058823529411,0.7723785166240409,0.7647058823529411,0.7570332480818415,0.7595907928388747,0.7621483375959079,0.7570332480818415,0.7672634271099744,0.7723785166240409
ArrowHead,0.7885714285714286,0.8342857142857143,0.7942857142857143,0.8114285714285714,0.8057142857142857,0.8057142857142857,0.7885714285714286,0.8114285714285714,0.8,0.7942857142857143
Beef,0.7,0.6666666666666666,0.7,0.7333333333333333,0.6,0.7666666666666667,0.6666666666666666,0.7333333333333333,0.6,0.6
BeetleFly,0.8,0.75,0.75,0.8,0.8,0.7,0.7,0.7,0.75,0.75
BirdChicken,0.85,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.85,0.9
Car,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.85,0.8833333333333333,0.8666666666666667,0.8666666666666667
CBF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.5268229166666667,0.4505208333333333,0.4703125,0.48515625,0.5359375,0.559375,0.5135416666666667,0.5151041666666667,0.5697916666666667,0.5151041666666667
CinCECGTorso,0.6891304347826087,0.7137681159420289,0.7181159420289855,0.6971014492753623,0.7108695652173913,0.7065217391304348,0.6869565217391305,0.7043478260869566,0.7043478260869566,0.7108695652173913
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.7,0.704,0.708,0.716,0.688,0.704,0.732,0.692,0.72,0.724
CricketX,0.7384615384615385,0.717948717948718,0.7230769230769231,0.7333333333333333,0.7230769230769231,0.7230769230769231,0.7230769230769231,0.7051282051282052,0.7153846153846154,0.7461538461538462
CricketY,0.7051282051282052,0.7153846153846154,0.7282051282051282,0.7153846153846154,0.7025641025641025,0.7333333333333333,0.7102564102564103,0.7,0.7102564102564103,0.7102564102564103
CricketZ,0.7076923076923077,0.717948717948718,0.7230769230769231,0.7307692307692307,0.7025641025641025,0.7282051282051282,0.7256410256410256,0.7307692307692307,0.7205128205128205,0.7205128205128205
DiatomSizeReduction,0.9509803921568628,0.9803921568627452,0.9575163398692812,0.9509803921568628,0.9607843137254902,0.9411764705882352,0.9444444444444444,0.9575163398692812,0.9607843137254902,0.9575163398692812
DistalPhalanxOutlineCorrect,0.7355072463768116,0.7681159420289855,0.7427536231884058,0.7427536231884058,0.7572463768115942,0.7463768115942029,0.7427536231884058,0.7318840579710145,0.7318840579710145,0.7572463768115942
DistalPhalanxOutlineAgeGroup,0.7122302158273381,0.6906474820143885,0.6834532374100719,0.7482014388489209,0.6762589928057554,0.7266187050359713,0.7338129496402878,0.7338129496402878,0.7266187050359713,0.7266187050359713
DistalPhalanxTW,0.5683453237410072,0.6187050359712231,0.5899280575539568,0.5899280575539568,0.6115107913669064,0.5827338129496403,0.5827338129496403,0.60431654676259,0.60431654676259,0.6187050359712231
Earthquakes,0.6115107913669064,0.5827338129496403,0.60431654676259,0.5251798561151079,0.5755395683453237,0.5755395683453237,0.5683453237410072,0.6258992805755396,0.5755395683453237,0.5179856115107914
ECG200,0.91,0.91,0.9,0.87,0.92,0.92,0.92,0.91,0.91,0.92
ECG5000,0.9284444444444444,0.9277777777777778,0.9255555555555556,0.9293333333333332,0.9222222222222224,0.9288888888888888,0.9286666666666666,0.9235555555555556,0.9266666666666666,0.9257777777777778
ECGFiveDays,0.9059233449477352,0.9291521486643438,0.9210220673635308,0.9547038327526132,0.926829268292683,0.9454123112659698,0.9210220673635308,0.9326364692218352,0.924506387921022,0.9233449477351916
FaceAll,0.7840236686390533,0.7834319526627219,0.7911242603550296,0.7875739644970414,0.7863905325443787,0.785207100591716,0.785207100591716,0.7781065088757396,0.7816568047337278,0.7822485207100591
FaceFour,0.9204545454545454,0.9204545454545454,0.9431818181818182,0.9318181818181818,0.9431818181818182,0.9204545454545454,0.9318181818181818,0.9318181818181818,0.9204545454545454,0.9318181818181818
FacesUCR,0.8770731707317073,0.8770731707317073,0.8819512195121951,0.8775609756097561,0.8721951219512195,0.8663414634146341,0.8824390243902439,0.8795121951219512,0.8795121951219512,0.8765853658536585
FiftyWords,0.6263736263736264,0.6175824175824176,0.6417582417582418,0.6593406593406593,0.6351648351648351,0.643956043956044,0.6395604395604395,0.6197802197802198,0.6197802197802198,0.6395604395604395
Fish,0.8914285714285715,0.8742857142857143,0.8914285714285715,0.8857142857142857,0.8628571428571429,0.88,0.88,0.9028571428571428,0.88,0.8742857142857143
FordA,0.8704545454545455,0.8787878787878788,0.8734848484848485,0.8765151515151515,0.8696969696969697,0.8689393939393939,0.8704545454545455,0.8704545454545455,0.8696969696969697,0.8590909090909091
FordB,0.7197530864197531,0.7345679012345679,0.7148148148148148,0.7308641975308642,0.7395061728395061,0.7333333333333333,0.7320987654320987,0.7222222222222222,0.7308641975308642,0.7395061728395061
GunPoint,0.98,0.9733333333333334,0.9733333333333334,0.9866666666666668,0.98,0.98,0.98,0.9866666666666668,0.9733333333333334,0.98
Ham,0.6666666666666666,0.6761904761904762,0.6761904761904762,0.7238095238095238,0.6571428571428571,0.6476190476190476,0.580952380952381,0.7142857142857143,0.6761904761904762,0.638095238095238
HandOutlines,0.8648648648648649,0.8675675675675676,0.8810810810810811,0.8594594594594595,0.8567567567567568,0.8675675675675676,0.8702702702702703,0.8675675675675676,0.8675675675675676,0.8648648648648649
Haptics,0.4415584415584415,0.4318181818181818,0.4253246753246753,0.4253246753246753,0.4415584415584415,0.4285714285714285,0.4058441558441558,0.422077922077922,0.3961038961038961,0.422077922077922
Herring,0.546875,0.5625,0.578125,0.5625,0.578125,0.59375,0.5625,0.625,0.5625,0.65625
InlineSkate,0.3181818181818182,0.3490909090909091,0.38,0.3509090909090909,0.3654545454545455,0.4127272727272727,0.3945454545454545,0.3363636363636363,0.3654545454545455,0.32
InsectWingbeatSound,0.5823232323232324,0.5893939393939394,0.5656565656565656,0.5959595959595959,0.5888888888888889,0.5868686868686869,0.5818181818181818,0.5818181818181818,0.5833333333333334,0.5863636363636363
ItalyPowerDemand,0.9601554907677357,0.95821185617104,0.9601554907677357,0.9601554907677357,0.9543245869776482,0.9601554907677357,0.956268221574344,0.9630709426627794,0.9611273080660836,0.9611273080660836
LargeKitchenAppliances,0.76,0.7573333333333333,0.7653333333333333,0.76,0.76,0.7573333333333333,0.7813333333333333,0.7866666666666666,0.76,0.7413333333333333
Lightning2,0.6885245901639344,0.7213114754098361,0.7049180327868853,0.7213114754098361,0.7213114754098361,0.6885245901639344,0.7213114754098361,0.7049180327868853,0.6885245901639344,0.7213114754098361
Lightning7,0.7534246575342466,0.7397260273972602,0.7671232876712328,0.7534246575342466,0.7671232876712328,0.7671232876712328,0.7534246575342466,0.7671232876712328,0.7397260273972602,0.7397260273972602
Mallat,0.9637526652452024,0.9646055437100212,0.9658848614072496,0.9671641791044776,0.9671641791044776,0.9667377398720682,0.9680170575692963,0.9663113006396588,0.964179104477612,0.9637526652452024
Meat,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
MedicalImages,0.7552631578947369,0.7447368421052631,0.743421052631579,0.7460526315789474,0.7460526315789474,0.7513157894736842,0.7526315789473684,0.7552631578947369,0.756578947368421,0.7421052631578947
MiddlePhalanxOutlineCorrect,0.7663230240549829,0.7835051546391752,0.7353951890034365,0.7594501718213058,0.7766323024054983,0.7697594501718213,0.7663230240549829,0.7972508591065293,0.7800687285223368,0.7594501718213058
MiddlePhalanxOutlineAgeGroup,0.564935064935065,0.551948051948052,0.5324675324675324,0.512987012987013,0.5064935064935064,0.5454545454545454,0.564935064935065,0.5454545454545454,0.538961038961039,0.5324675324675324
MiddlePhalanxTW,0.512987012987013,0.5064935064935064,0.5,0.5,0.4935064935064935,0.5324675324675324,0.487012987012987,0.4935064935064935,0.5,0.474025974025974
MoteStrain,0.9169329073482428,0.9161341853035144,0.915335463258786,0.9089456869009584,0.9105431309904152,0.9097444089456868,0.9121405750798722,0.9065495207667732,0.9137380191693292,0.9169329073482428
NonInvasiveFetalECGThorax1,0.905852417302799,0.9017811704834604,0.9083969465648856,0.905852417302799,0.905852417302799,0.902290076335878,0.910941475826972,0.9089058524173028,0.9017811704834604,0.9048346055979644
NonInvasiveFetalECGThorax2,0.9236641221374046,0.9272264631043255,0.9267175572519084,0.932824427480916,0.9297709923664124,0.9318066157760814,0.926208651399491,0.927735368956743,0.9374045801526718,0.9251908396946564
OliveOil,0.7666666666666667,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.9
OSULeaf,0.8305785123966942,0.8305785123966942,0.8099173553719008,0.8016528925619835,0.8016528925619835,0.8347107438016529,0.8016528925619835,0.8099173553719008,0.8140495867768595,0.8264462809917356
PhalangesOutlinesCorrect,0.7808857808857809,0.7937062937062938,0.7762237762237763,0.7657342657342657,0.782051282051282,0.7785547785547785,0.7785547785547785,0.7715617715617715,0.7634032634032634,0.7832167832167832
Phoneme,0.0991561181434599,0.0374472573839662,0.0817510548523206,0.02584388185654,0.0226793248945147,0.020042194092827,0.0232067510548523,0.020042194092827,0.0337552742616033,0.0263713080168776
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ProximalPhalanxOutlineCorrect,0.8419243986254296,0.852233676975945,0.8419243986254296,0.8487972508591065,0.8556701030927835,0.8556701030927835,0.865979381443299,0.845360824742268,0.8556701030927835,0.8591065292096219
ProximalPhalanxOutlineAgeGroup,0.7902439024390244,0.8097560975609757,0.7609756097560976,0.8048780487804879,0.7902439024390244,0.7658536585365854,0.7853658536585366,0.775609756097561,0.7951219512195122,0.7804878048780488
ProximalPhalanxTW,0.7073170731707317,0.7268292682926829,0.7219512195121951,0.7317073170731707,0.7560975609756098,0.7268292682926829,0.7268292682926829,0.7365853658536585,0.7268292682926829,0.7073170731707317
RefrigerationDevices,0.496,0.5013333333333333,0.4986666666666666,0.5146666666666667,0.504,0.5013333333333333,0.4906666666666666,0.488,0.496,0.4853333333333333
ScreenType,0.408,0.408,0.3706666666666666,0.3946666666666666,0.4026666666666667,0.4213333333333333,0.4053333333333333,0.4426666666666666,0.424,0.4346666666666666
ShapeletSim,0.9944444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944444444444444,1.0
ShapesAll,0.8433333333333334,0.84,0.8316666666666667,0.8316666666666667,0.8316666666666667,0.8466666666666667,0.85,0.8383333333333334,0.8366666666666667,0.8416666666666667
SmallKitchenAppliances,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.736,0.7306666666666667,0.736,0.7386666666666667,0.7413333333333333,0.736,0.728
SonyAIBORobotSurface1,0.9168053244592346,0.9201331114808652,0.9051580698835274,0.9101497504159732,0.9168053244592346,0.91846921797005,0.9151414309484192,0.9217970049916804,0.9234608985024958,0.9118136439267888
SonyAIBORobotSurface2,0.8950682056663168,0.9202518363064008,0.8971668415529905,0.9055613850996852,0.9171038824763904,0.906610703043022,0.9045120671563484,0.8961175236096537,0.901364113326338,0.9233997901364114
StarLightCurves,0.9668528411850412,0.9668528411850412,0.9678241864983002,0.9650315687226808,0.9658814958717824,0.9673385138416708,0.9661243322000972,0.9677027683341428,0.9656386595434676,0.966367168528412
Strawberry,0.9432432432432432,0.945945945945946,0.9432432432432432,0.9405405405405406,0.9432432432432432,0.9405405405405406,0.9405405405405406,0.9432432432432432,0.9378378378378378,0.9378378378378378
SwedishLeaf,0.9296,0.9296,0.9264,0.9232,0.9312,0.9312,0.928,0.9328,0.9344,0.9328
Symbols,0.9778894472361808,0.9778894472361808,0.9778894472361808,0.9768844221105528,0.978894472361809,0.9778894472361808,0.9798994974874372,0.9798994974874372,0.9778894472361808,0.9778894472361808
SyntheticControl,0.99,0.9866666666666668,0.9833333333333332,0.9866666666666668,0.9766666666666668,0.9766666666666668,0.9866666666666668,0.9833333333333332,0.9933333333333332,0.9766666666666668
ToeSegmentation1,0.881578947368421,0.881578947368421,0.8991228070175439,0.9166666666666666,0.8991228070175439,0.925438596491228,0.9166666666666666,0.8596491228070176,0.9078947368421052,0.9166666666666666
ToeSegmentation2,0.9076923076923076,0.9,0.8923076923076924,0.9,0.9076923076923076,0.9153846153846154,0.9076923076923076,0.9,0.8923076923076924,0.8923076923076924
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TwoLeadECG,0.9692712906057944,0.9666374012291484,0.9666374012291484,0.9666374012291484,0.9701492537313432,0.9701492537313432,0.9666374012291484,0.9736611062335382,0.9727831431079894,0.9666374012291484
TwoPatterns,0.99825,0.998,0.997,0.99675,0.998,0.9975,0.9975,0.99775,0.9975,0.99825
UWaveGestureLibraryX,0.7666108319374652,0.7761027359017308,0.7749860413176997,0.7716359575656058,0.7794528196538246,0.7761027359017308,0.7716359575656058,0.7727526521496371,0.7811278615298716,0.7772194304857621
UWaveGestureLibraryY,0.7174762702400893,0.7252931323283082,0.7130094919039642,0.7113344500279174,0.7158012283640425,0.7261306532663316,0.7183137911781128,0.7244556113902848,0.7155220547180347,0.7171970965940815
UWaveGestureLibraryZ,0.7043551088777219,0.711892797319933,0.7127303182579564,0.7063093243997767,0.7068676716917923,0.7085427135678392,0.707426018983808,0.7060301507537688,0.7051926298157454,0.7085427135678392
UWaveGestureLibraryAll,0.9036850921273032,0.902568397543272,0.9048017867113344,0.9050809603573424,0.8975432719151312,0.9064768285873812,0.9014517029592406,0.9034059184812954,0.9134561697375768,0.9006141820212172
Wafer,0.995619727449708,0.9957819597663856,0.995295262816353,0.9961064243997404,0.995295262816353,0.9957819597663856,0.995619727449708,0.995944192083063,0.9961064243997404,0.9954574951330304
Wine,0.6481481481481481,0.7037037037037037,0.5925925925925926,0.5555555555555556,0.7037037037037037,0.7037037037037037,0.7962962962962963,0.7407407407407407,0.7407407407407407,0.6481481481481481
WordSynonyms,0.5,0.5015673981191222,0.4921630094043887,0.5109717868338558,0.5062695924764891,0.5,0.4858934169278996,0.5156739811912225,0.5062695924764891,0.5235109717868338
Worms,0.6623376623376623,0.7402597402597403,0.6623376623376623,0.7662337662337663,0.7142857142857143,0.7532467532467533,0.7012987012987013,0.6363636363636364,0.7662337662337663,0.7012987012987013
WormsTwoClass,0.6883116883116883,0.7142857142857143,0.7792207792207793,0.7142857142857143,0.7792207792207793,0.7792207792207793,0.7012987012987013,0.6883116883116883,0.7532467532467533,0.8051948051948052
Yoga,0.8223333333333334,0.8223333333333334,0.817,0.8413333333333334,0.8283333333333334,0.8113333333333334,0.8203333333333334,0.8143333333333334,0.8346666666666667,0.8286666666666667
